query	sample_id	kmer_similarity
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN07660325	0.995729537366548
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN09867655	0.9893238434163701
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN07791949	0.9836298932384342
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN07659775	0.9814946619217082
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN07658699	0.9750889679715302
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMEA2674799	0.9686832740213523
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMEA104176620	0.9665480427046264
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMEA104176619	0.9565836298932384
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMEA104151638	0.9480427046263346
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN07609253	0.9053380782918149
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN09867653	0.9017793594306049
IS_length_1439-IPR012337_359_845-IPR036397_359_851-PTHR42648:SF3_89_860-PTHR42648_89_860	SAMN09406817	0.9567068843151171
IS_length_1441-IPR002560_619_1351-PTHR33498_475_1384	SAMN09867655	0.9801559177888023
IS_length_1442-PTHR46889_596_1019	SAMEA3389234	0.9072237960339944
IS_length_1443-IPR002560_580_1375-PTHR33498_550_1348	SAMN06473580	0.9858457183297947
IS_length_1443-IPR002560_580_1375-PTHR33498_550_1348	SAMN06473599	0.9858457183297947
